Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
4118,2431.67,35352,85964397.84,3024,7353370.08
1010,22.174,36520,809794.48,4086,90602.96399999999
1362,2347.06,35894,84245371.64,3490,8191239.399999999
5198,1186.62,35958,42668481.95999999,3814,4525768.68

weighted_avg,NA,NA,213688045.92000002,NA,20160981.123999998
weighted_%,NA,NA,0.91378633736968,NA,0.08621366263032
weighted_total,233849027.04400003
