Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
4118,2431.67,306176,744518993.9200001,21744,52874232.480000004,4680692,11381898315.64
1010,22.174,539476,11962340.824,22125,490599.75,4728741,104855102.934
1362,2347.06,306114,718467924.84,22234,52184532.04,4690983,11010018559.98
5198,1186.62,307067,364371843.53999996,22528,26732175.36,4668604,5539858878.48

weighted_avg,NA,NA,1839321103.124,NA,132281539.63000001,NA,28036630857.034
weighted_%,NA,NA,0.0612938813321682,NA,0.0044081748307821765,NA,0.9342979438370496
weighted_total,30008233499.788002
