Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
4118,2431.67,797041,1938140688.47,50185,122033358.95
1010,22.174,795149,17631633.926,54854,1216332.596
1362,2347.06,808130,1896729597.8,50710,119019412.6
5198,1186.62,815686,967909321.3199999,47124,55918280.879999995

weighted_avg,NA,NA,4820411241.516,NA,298187385.026
weighted_%,NA,NA,0.9417443314504524,NA,0.05825566854954754
weighted_total,5118598626.542
