Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
517,810.151,1470963,1191702145.4129999,19231,15580013.881
5297,898.498,1475472,1325708641.056,20010,17978944.98
5168,967.77,1474342,1426823957.34,19336,18712800.72
2807,979.819,1471191,1441500894.429,19388,18996730.772
2215,509.983,1472404,750901009.132,19459,9923759.197
1490,862.35,1476950,1273647832.5,19717,17002954.95
3954,490.914,1472771,723003902.694,19410,9528640.74
2031,399.553,1472613,588386941.989,19585,7825245.505

weighted_avg,NA,NA,8721675324.553,NA,115549090.74499999
weighted_%,NA,NA,0.9869247305132395,NA,0.013075269486760403
weighted_total,8837224415.298
