Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
517,810.151,10540,8538991.54,75,60761.325
5297,898.498,11337,10186271.826000001,244,219233.51200000002
5168,967.77,11068,10711278.36,51,49356.27
2807,979.819,11199,10972992.980999999,42,41152.398
2215,509.983,11065,5642961.8950000005,45,22949.235
1490,862.35,11297,9741967.950000001,87,75024.45
3954,490.914,10821,5312180.394,46,22582.043999999998
2031,399.553,10722,4284007.266,36,14383.908

weighted_avg,NA,NA,65390652.21200001,NA,505443.142
weighted_%,NA,NA,0.9923296951164601,NA,0.007670304883539943
weighted_total,65896095.35400001
