Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
517,810.151,341754597,276872828514.147
5297,898.498,353266077,317408863652.346
5168,967.77,342426100,331389706797.0
2807,979.819,341765330,334868163875.26996
2215,509.983,349205629,178088934294.307
1490,862.35,359628116,310125305832.60004
3954,490.914,345017288,169373816921.232
2031,399.553,351326959,140373740449.327

weighted_avg,NA,NA,2058501360336.2288
weighted_%,NA,NA,1.0
weighted_total,2058501360336.2288
