Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
517,810.151,52025304,42148352060.904
5297,898.498,52120458,46830127272.084
5168,967.77,52110155,50430644704.35
2807,979.819,52111871,51060201331.349
2215,509.983,51972156,26504916033.348
1490,862.35,52326492,45123750376.200005
3954,490.914,52188896,25620259690.944
2031,399.553,52063495,20802125617.735

weighted_avg,NA,NA,308520377086.914
weighted_%,NA,NA,1.0
weighted_total,308520377086.914
