Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_w_val
517,810.151,0,0.0,0,0.0
5297,898.498,12,10781.976,22,19766.956000000002
5168,967.77,0,0.0,2,1935.54
2807,979.819,0,0.0,0,0.0
2215,509.983,1,509.983,1,509.983
1490,862.35,13,11210.550000000001,21,18109.350000000002
3954,490.914,0,0.0,0,0.0
2031,399.553,0,0.0,0,0.0

weighted_avg,NA,NA,22502.509000000002,NA,40321.829000000005
weighted_%,NA,NA,0.3581813946053837,NA,0.6418186053946164
weighted_total,62824.338
