Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,17728,14362356.928,516,418037.91599999997
5297,898.498,18482,16606040.036,518,465421.96400000004
5168,967.77,17840,17265016.8,521,504208.17
2807,979.819,17861,17500547.158999998,534,523223.34599999996
2215,509.983,17956,9157254.748,493,251421.619
1490,862.35,18165,15664587.75,504,434624.4
3954,490.914,17905,8789815.17,504,247420.656
2031,399.553,18065,7217924.945,498,198977.394

weighted_avg,NA,NA,106563543.53599998,NA,3043335.465
weighted_%,NA,NA,0.9722340833646742,NA,0.027765916635325728
weighted_total,109606879.00099999
