Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,179251,145220376.901,0,0.0
5297,898.498,190452,171120741.09600002,20,17969.96
5168,967.77,187485,181442358.45,0,0.0
2807,979.819,188324,184523433.356,0,0.0
2215,509.983,188420,96090996.86,0,0.0
1490,862.35,191785,165385794.75,25,21558.75
3954,490.914,188683,92627126.262,0,0.0
2031,399.553,192004,76715774.212,0,0.0

weighted_avg,NA,NA,1113126601.8869998,NA,39528.71
weighted_%,NA,NA,0.999964489837668,NA,3.5510162332014574e-05
weighted_total,1113166130.597
