Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,389873,315856000.82299995,30092,24379063.891999997
5297,898.498,389016,349530097.968,31766,28541687.468000002
5168,967.77,389788,377225132.76,31240,30233134.8
2807,979.819,389738,381872697.422,32160,31510979.04
2215,509.983,389627,198703146.341,31022,15820692.626
1490,862.35,389154,335586951.90000004,32281,27837520.35
3954,490.914,389584,191252239.776,30067,14760311.238
2031,399.553,389492,155622697.076,30039,12002172.567

weighted_avg,NA,NA,2305648964.066,NA,185085561.981
weighted_%,NA,NA,0.9256903696297389,NA,0.07430963037026109
weighted_total,2490734526.047
