Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
517,810.151,68084,55158320.684,12826,10390996.726
5297,898.498,67351,60514738.798,13812,12410054.376
5168,967.77,68015,65822876.55,12896,12480361.92
2807,979.819,67993,66620833.267,12904,12643584.376
2215,509.983,67954,34655384.782,12917,6587450.411
1490,862.35,67738,58413864.300000004,13348,11510647.8
3954,490.914,67943,33354169.902,12852,6309226.728
2031,399.553,67880,27121657.64,12896,5152635.488

weighted_avg,NA,NA,401661845.923,NA,77484957.825
weighted_%,NA,NA,0.83828555837398,NA,0.16171444162602
weighted_total,479146803.74799997
