Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
517,810.151,675259,547061754.109,22818,18486025.518
5297,898.498,657496,590758841.008,23497,21112007.506
5168,967.77,671503,649860458.31,22798,22063220.46
2807,979.819,672561,658988046.459,22834,22373187.046
2215,509.983,675135,344307372.705,23265,11864754.495
1490,862.35,667846,575916998.1,24016,20710197.6
3954,490.914,675252,331490660.328,23056,11318513.184
2031,399.553,677967,270883748.751,23443,9366720.979

weighted_avg,NA,NA,3969267879.77,NA,137294626.788
weighted_%,NA,NA,0.9665670188707108,NA,0.033432981129289156
weighted_total,4106562506.558
