Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,18207,14750419.257,37,29975.587
5297,898.498,18946,17022943.108,54,48518.892
5168,967.77,18326,17735353.02,35,33871.95
2807,979.819,18347,17976739.193,48,47031.312
2215,509.983,18428,9397966.724,21,10709.643
1490,862.35,18626,16062131.1,43,37081.05
3954,490.914,18386,9025944.804,23,11291.021999999999
2031,399.553,18551,7412107.703,12,4794.636

weighted_avg,NA,NA,109383604.90899998,NA,223274.092
weighted_%,NA,NA,0.9979629554820373,NA,0.00203704451796281
weighted_total,109606879.00099997
