Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
49,53.1722,1708051270,90820843738.694
1172,4605.89,1959037093,9023109356277.771

weighted_avg,NA,NA,9113930200016.465
weighted_%,NA,NA,1.0
weighted_total,9113930200016.465
