Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
49,53.1722,797333380,42395969948.035995
1172,4605.89,734450688,3382799079352.3203

weighted_avg,NA,NA,3425195049300.3564
weighted_%,NA,NA,1.0
weighted_total,3425195049300.3564
