Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
49,53.1722,401285,21337206.277,173076,9202831.687199999
1172,4605.89,472378,2175721106.42,191953,884114403.1700001

weighted_avg,NA,NA,2197058312.697,NA,893317234.8572
weighted_%,NA,NA,0.7109357030849557,NA,0.2890642969150443
weighted_total,3090375547.5542
