Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
49,53.1722,5509280,292940538.016
1172,4605.89,5431150,25015279473.5

weighted_avg,NA,NA,25308220011.516
weighted_%,NA,NA,1.0
weighted_total,25308220011.516
