Simpoints,Weight,CBR_CORRECT_val,CBR_CORRECT_w_val,CBR_CORRECT_BTB_MISS_NT_NT_val,CBR_CORRECT_BTB_MISS_NT_NT_w_val,CBR_RECOVER_MISPREDICT_val,CBR_RECOVER_MISPREDICT_w_val,CBR_RECOVER_MISFETCH_val,CBR_RECOVER_MISFETCH_w_val,CBR_RECOVER_BTB_MISS_T_T_val,CBR_RECOVER_BTB_MISS_T_T_w_val,CBR_RECOVER_BTB_MISS_T_NT_val,CBR_RECOVER_BTB_MISS_T_NT_w_val,CBR_RECOVER_BTB_MISS_NT_T_val,CBR_RECOVER_BTB_MISS_NT_T_w_val
49,53.1722,568443,30225364.8846,671205,35689446.500999995,1849,98315.39779999999,0,0.0,23824,1266774.4928,164,8720.2408,224,11910.5728
1172,4605.89,554664,2554721370.96,694309,3197910880.01,589,2712869.21,0,0.0,26429,121729066.81,73,336229.97000000003,68,313200.52

weighted_avg,NA,NA,2584946735.8446,NA,3233600326.511,NA,2811184.6078,NA,0.0,NA,122995841.3028,NA,344950.2108,NA,325111.09280000004
weighted_%,NA,NA,0.4348084500265074,NA,0.54391710532328,NA,0.0004728634463164335,NA,0.0,NA,0.0206888716022626,NA,5.802334895897128e-05,NA,5.468625267460453e-05
weighted_total,5945024149.5698
