Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
49,53.1722,233659,12424163.079799999
1172,4605.89,260528,1199963309.92

weighted_avg,NA,NA,1212387472.9998
weighted_%,NA,NA,1.0
weighted_total,1212387472.9998
