Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2264,44.9546,527760,23725239.696
812,334.908,377160,126313901.28
1358,97.2156,2131590,207223800.804
1778,40.8635,2140,87447.89
828,45.4532,163535,7433189.062000001
2213,8.07837,17940,144925.9578
1726,65.5195,1775,116297.11249999999
2054,37.2896,62595,2334142.512
1903,16.1097,6120,98591.364
509,133.977,601625,80603912.625
1751,10.0901,0,0.0
62,40.4224,122410,4948105.984
2151,40.7196,178525,7269466.59
239,98.774,3800,375341.2
1893,44.3029,0,0.0
1305,111.513,3229190,360096664.47
1673,34.2884,7470,256134.34800000003
492,45.4197,621310,28219713.807
2249,320.874,1905165,611317914.21
264,17.7912,195385,3476133.612
2123,26.1783,895,23429.5785
116,27.1629,17290,469646.541
1159,18.1708,100280,1822167.824
1270,263.009,5219230,1372704463.0700002
2165,28.2044,1585,44703.974
1152,171.372,50915,8725405.38
792,79.0312,13605,1075219.476
1979,51.6033,292895,15114348.553499999
2185,56.1164,13505,757851.982

weighted_avg,NA,NA,2864778158.9033
weighted_%,NA,NA,1.0
weighted_total,2864778158.9033
