Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
2264,44.9546,1146781,51553081.1426,1047008,47067825.8368
812,334.908,1044507,349813750.356,382726,128177999.208
1358,97.2156,920267,89464308.5652,850427,82674771.0612
1778,40.8635,1377731,56298910.7185,208131,8504961.1185
828,45.4532,1160607,52753302.0924,2687119,122138157.33080001
2213,8.07837,1189774,9611434.58838,292666,2364264.23442
1726,65.5195,1227459,80422499.9505,164597,10784313.141499998
2054,37.2896,1400796,52235122.5216,87924,3278650.7904
1903,16.1097,822107,13243897.1379,29566,476299.3902
509,133.977,1052767,141046564.359,374770,50210560.29
1751,10.0901,1323531,13354560.143099999,67409,680163.5509
62,40.4224,1324820,53552403.968,368802,14907861.964800002
2151,40.7196,1320972,53789451.4512,2007186,81731811.0456
239,98.774,1439442,142179444.108,92003,9087504.322
1893,44.3029,672892,29811066.9868,51066,2262371.8914
1305,111.513,1078711,120290299.743,1110463,123831060.51900001
1673,34.2884,1374039,47113598.847600006,323204,11082148.0336
492,45.4197,911285,41390291.3145,508109,23078158.3473
2249,320.874,1181120,378990698.88000005,1662840,533562122.16
264,17.7912,1308863,23286243.4056,2711469,48240287.2728
2123,26.1783,1109187,29036630.0421,442355,11580101.8965
116,27.1629,1251236,33987198.3444,1141135,30996535.8915
1159,18.1708,1383432,25138066.1856,632129,11486289.6332
1270,263.009,1240056,326145888.504,2106951,554147075.559
2165,28.2044,1103564,31125360.4816,37666,1062346.9304
1152,171.372,1165515,199736636.58,871469,149345385.46800002
792,79.0312,965946,76339871.5152,70648,5583396.2176
1979,51.6033,1052792,54327541.4136,346595,17885445.763499998
2185,56.1164,1107829,62167375.2956,3055425,171459451.47

weighted_avg,NA,NA,2638205498.64198,NA,2257687320.33892
weighted_%,NA,NA,0.5388609588048812,NA,0.46113904119511895
weighted_total,4895892818.9809
