Simpoints,Weight,FDIP_PREFETCH_HIT_ICACHE_val,FDIP_PREFETCH_HIT_ICACHE_w_val,FDIP_PREFETCH_HIT_MLC_val,FDIP_PREFETCH_HIT_MLC_w_val,FDIP_PREFETCH_HIT_L1_val,FDIP_PREFETCH_HIT_L1_w_val,FDIP_PREFETCH_HIT_DRAM_val,FDIP_PREFETCH_HIT_DRAM_w_val
2264,44.9546,2193789,98620906.9794,72009,3237135.7914,2083,93640.43179999999,3201,143899.6746
812,334.908,1427233,477991749.564,551088,184563779.904,2002,670485.816,81,27127.548000000003
1358,97.2156,1770694,172139079.6264,170962,16620173.4072,30144,2930467.0464,5446,529436.1575999999
1778,40.8635,1585862,64803871.837000005,65,2656.1275,80,3269.08,8,326.908
828,45.4532,3847726,174891459.4232,203,9226.999600000001,727,33044.4764,1513,68770.6916
2213,8.07837,1482440,11975698.8228,0,0.0,0,0.0,186,1502.57682
1726,65.5195,1392056,91206813.092,2366,155019.137,40,2620.7799999999997,0,0.0
2054,37.2896,1488720,55513773.312,3004,112017.9584,10,372.896,521,19427.8816
1903,16.1097,851673,13720196.5281,32,515.5104,103,1659.2991,32,515.5104
509,133.977,1427537,191257124.64900002,73656,9868209.912,29065,3894041.505,1114,149250.378
1751,10.0901,1390940,14034723.694,0,0.0,0,0.0,0,0.0
62,40.4224,1693622,68460265.93280001,119184,4817703.3216,512,20696.2688,598,24172.595200000003
2151,40.7196,3328158,135521262.4968,11,447.9156,29,1180.8684,1268,51632.4528
239,98.774,1531445,151266948.43,12647,1249194.778,10,987.74,3,296.322
1893,44.3029,723958,32073438.878200002,324,14354.1396,0,0.0,0,0.0
1305,111.513,2189174,244121360.26200002,228466,25476929.058000002,32013,3569865.669,13182,1469964.3660000002
1673,34.2884,1697243,58195746.88120001,8240,282536.416,39,1337.2476000000001,27,925.7868000000001
492,45.4197,1419394,64468449.6618,60844,2763516.2268,24416,1108967.3952,1435,65177.269499999995
2249,320.874,2843960,912552821.0400001,297085,95326852.29,30153,9675313.722000001,696,223328.304
264,17.7912,4020332,71526530.6784,59928,1066191.0336,20,355.824,1457,25921.7784
2123,26.1783,1551542,40616731.9386,277,7251.3891,80,2094.264,9,235.6047
116,27.1629,2392371,64983734.2359,2601,70650.7029,15,407.44350000000003,181,4916.4849
1159,18.1708,2015561,36624355.8188,365,6632.342,174,3161.7192,2439,44318.5812
1270,263.009,3347007,880292964.0630001,101095,26588894.855,8020,2109332.18,23801,6259877.209000001
2165,28.2044,1141230,32187707.412,5269,148608.9836,3,84.6132,3,84.6132
1152,171.372,2036984,349082022.04800004,993,170172.396,4118,705709.8960000001,22,3770.184
792,79.0312,1036594,81923267.73279999,232140,18346302.768,78,6164.4336,66,5216.0592
1979,51.6033,1399387,72212987.1771,503,25956.459899999998,5861,302446.9413,1950,100626.435
2185,56.1164,4163254,233626826.7656,0,0.0,0,0.0,99,5555.5235999999995

weighted_avg,NA,NA,4895892818.980901,NA,390930929.8232001,NA,25137707.556500006,NA,9226276.896120002
weighted_%,NA,NA,0.9200751908041538,NA,0.07346685541273677,NA,0.004724078310447994,NA,0.0017338754726612987
weighted_total,5321187733.2567215
