Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
2264,44.9546,35184,1581682.6464,13582,610573.3772
812,334.908,346408,116014810.464,48388,16205528.304000001
1358,97.2156,81559,7928807.120399999,36985,3595518.966
1778,40.8635,18,735.543,7,286.0445
828,45.4532,206,9363.3592,332,15090.4624
2213,8.07837,1,8.07837,36,290.82132
1726,65.5195,1121,73447.35949999999,81,5307.0795
2054,37.2896,1129,42099.9584,578,21553.3888
1903,16.1097,39,628.2783000000001,32,515.5104
509,133.977,63464,8502716.328,4949,663052.1730000001
1751,10.0901,0,0.0,0,0.0
62,40.4224,76335,3085643.904,13331,538871.0144
2151,40.7196,35,1425.186,192,7818.1632
239,98.774,10183,1005815.642,766,75660.884
1893,44.3029,118,5227.7422,38,1683.5102
1305,111.513,105620,11778003.06,47731,5322627.0030000005
1673,34.2884,4906,168218.8904,540,18515.736
492,45.4197,44464,2019541.5407999998,9273,421176.8781
2249,320.874,121504,38987474.496,63370,20333785.380000003
264,17.7912,36561,650464.0632,4577,81430.3224
2123,26.1783,81,2120.4423,80,2094.264
116,27.1629,1193,32405.3397,58,1575.4482
1159,18.1708,87,1580.8596,298,5414.8984
1270,263.009,34884,9174805.956,24062,6328522.558
2165,28.2044,2784,78521.0496,160,4512.704
1152,171.372,1677,287390.84400000004,900,154234.80000000002
792,79.0312,166065,13124316.228,3908,308853.9296
1979,51.6033,3396,175244.8068,644,33232.5252
2185,56.1164,0,0.0,22,1234.5608

weighted_avg,NA,NA,214732499.18616998,NA,54758960.70662002
weighted_%,NA,NA,0.7968063228111034,NA,0.2031936771888965
weighted_total,269491459.89279
