Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2264,44.9546,24620,1106782.252
812,334.908,141984,47551577.472
1358,97.2156,79772,7755082.8432
1778,40.8635,234,9562.059000000001
828,45.4532,1214,55180.1848
2213,8.07837,7,56.54859
1726,65.5195,2657,174085.31149999998
2054,37.2896,1394,51981.7024
1903,16.1097,85,1369.3245
509,133.977,28460,3812985.42
1751,10.0901,0,0.0
62,40.4224,77992,3152623.8208000003
2151,40.7196,712,28992.355199999998
239,98.774,26211,2588965.3140000002
1893,44.3029,645,28575.3705
1305,111.513,119005,13270604.565000001
1673,34.2884,19147,656519.9948000001
492,45.4197,23492,1066999.5924
2249,320.874,127821,41014435.554000005
264,17.7912,16990,302272.488
2123,26.1783,270,7068.141
116,27.1629,5295,143827.55550000002
1159,18.1708,906,16462.7448
1270,263.009,75865,19953177.785
2165,28.2044,6537,184372.1628
1152,171.372,1015,173942.58000000002
792,79.0312,43206,3414622.0272
1979,51.6033,1570,81017.181
2185,56.1164,64,3591.4496

weighted_avg,NA,NA,146606733.79959005
weighted_%,NA,NA,1.0
weighted_total,146606733.79959005
