Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2264,44.9546,63609,2859517.1514,0,0.0
812,334.908,71839,24059455.812000003,0,0.0
1358,97.2156,303281,29483644.3836,0,0.0
1778,40.8635,327,13362.364500000001,0,0.0
828,45.4532,22499,1022651.5468,0,0.0
2213,8.07837,1491,12044.84967,0,0.0
1726,65.5195,288,18869.615999999998,0,0.0
2054,37.2896,8192,305476.4032,0,0.0
1903,16.1097,719,11582.8743,0,0.0
509,133.977,111680,14962551.360000001,0,0.0
1751,10.0901,0,0.0,0,0.0
62,40.4224,15924,643686.2976,0,0.0
2151,40.7196,19650,800140.14,0,0.0
239,98.774,658,64993.292,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,451732,50373990.516,0,0.0
1673,34.2884,1364,46769.37760000001,0,0.0
492,45.4197,101240,4598290.428,0,0.0
2249,320.874,296614,95175720.636,0,0.0
264,17.7912,24819,441559.7928,0,0.0
2123,26.1783,117,3062.8611,0,0.0
116,27.1629,2087,56688.9723,0,0.0
1159,18.1708,9781,177728.5948,0,0.0
1270,263.009,582867,153299266.803,129,33928.161
2165,28.2044,42,1184.5848,0,0.0
1152,171.372,6732,1153676.304,0,0.0
792,79.0312,2458,194258.68959999998,0,0.0
1979,51.6033,47451,2448628.1883,0,0.0
2185,56.1164,1181,66273.4684,0,0.0

weighted_avg,NA,NA,382295075.30777,NA,33928.161
weighted_%,NA,NA,0.9999112592539614,NA,8.874074603856564e-05
weighted_total,382329003.46877
