Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
2264,44.9546,3462,155632.8252,1949,87616.5154
812,334.908,29291,9809790.228,3238,1084432.104
1358,97.2156,22362,2173935.2472,4956,481800.51359999995
1778,40.8635,15,612.9525,18,735.543
828,45.4532,367,16681.3244,215,9772.438
2213,8.07837,5,40.39185,2,16.15674
1726,65.5195,4,262.078,1,65.5195
2054,37.2896,247,9210.5312,132,4922.2272
1903,16.1097,39,628.2783000000001,9,144.9873
509,133.977,3169,424573.113,256,34298.112
1751,10.0901,0,0.0,0,0.0
62,40.4224,1134,45839.0016,152,6144.2048
2151,40.7196,189,7696.0044,186,7573.8456
239,98.774,249,24594.726,19,1876.7060000000001
1893,44.3029,0,0.0,0,0.0
1305,111.513,29938,3338476.194,6940,773900.2200000001
1673,34.2884,235,8057.774,57,1954.4388000000001
492,45.4197,5634,255894.5898,1075,48826.1775
2249,320.874,41407,13286429.718,10161,3260400.714
264,17.7912,2538,45154.0656,624,11101.7088
2123,26.1783,25,654.4575,15,392.6745
116,27.1629,73,1982.8917000000001,68,1847.0772
1159,18.1708,247,4488.1876,174,3161.7192
1270,263.009,17052,4484829.468,8141,2141156.2690000003
2165,28.2044,0,0.0,0,0.0
1152,171.372,282,48326.904,141,24163.452
792,79.0312,920,72708.704,4,316.1248
1979,51.6033,315,16255.039499999999,50,2580.165
2185,56.1164,36,2020.1904,27,1515.1428

weighted_avg,NA,NA,34234774.885749996,NA,7990714.75674
weighted_%,NA,NA,0.8107608739556394,NA,0.1892391260443604
weighted_total,42225489.64249
