Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
2264,44.9546,91494,4113076.1724,15125,679938.325
812,334.908,705426,236252810.808,13665,4576517.82
1358,97.2156,564611,54888997.1316,20836,2025584.2415999998
1778,40.8635,24584,1004588.2840000001,1649,67383.9115
828,45.4532,20943,951926.3676,3740,169994.96800000002
2213,8.07837,5935,47945.125949999994,1528,12343.74936
1726,65.5195,4359,285599.50049999997,519,34004.6205
2054,37.2896,147024,5482466.1504,2820,105156.672
1903,16.1097,2957,47636.3829,143,2303.6871
509,133.977,88100,11803373.700000001,1526,204448.902
1751,10.0901,1228,12390.6428,577,5821.9877
62,40.4224,4438,179394.6112,1501,60674.0224
2151,40.7196,90257,3675228.9372,8654,352387.4184
239,98.774,614,60647.236,41,4049.734
1893,44.3029,842,37303.0418,47,2082.2363
1305,111.513,705554,78678443.202,35627,3972873.651
1673,34.2884,3165,108522.78600000001,538,18447.159200000002
492,45.4197,152803,6940266.4191,2072,94109.61839999999
2249,320.874,711827,228406776.798,34825,11174437.05
264,17.7912,23428,416812.2336,19334,343975.0608
2123,26.1783,3109,81388.3347,60,1570.698
116,27.1629,2040,55412.316,502,13635.7758
1159,18.1708,17043,309684.9444,3605,65505.734
1270,263.009,617058,162291807.522,149515,39323790.635000005
2165,28.2044,2970,83767.068,167,4710.1348
1152,171.372,27614,4732266.408000001,1373,235293.75600000002
792,79.0312,5075,401083.33999999997,79,6243.4648
1979,51.6033,34553,1783048.8249,1295,66826.2735
2185,56.1164,26769,1502179.9116,1469,82434.9916

weighted_avg,NA,NA,804634844.20065,NA,63706546.29876001
weighted_%,NA,NA,0.9266342166850754,NA,0.07336578331492456
weighted_total,868341390.49941
