Simpoints,Weight,FDIP_SENIORITY_FTQ_ACCUMULATED_val,FDIP_SENIORITY_FTQ_ACCUMULATED_w_val
2264,44.9546,226653622,10189122915.5612
812,334.908,210383510,70459120567.08
1358,97.2156,280456419,27264739046.936398
1778,40.8635,18500428,755992239.5780001
828,45.4532,20449039,929474259.4748001
2213,8.07837,15458856,124882358.54472
1726,65.5195,7023811,460196584.8145
2054,37.2896,37779967,1408799857.4432
1903,16.1097,1276315,20561051.7555
509,133.977,12105610,1621873310.97
1751,10.0901,7023302,70865819.5102
62,40.4224,22860776,924087431.7824001
2151,40.7196,88861809,3618417317.7564
239,98.774,661787,65367349.138000004
1893,44.3029,287787,12749798.6823
1305,111.513,450086009,50190441121.617004
1673,34.2884,6955202,238482748.25680003
492,45.4197,18212239,827194431.7083
2249,320.874,740001214,237447149541.036
264,17.7912,114822956,2042838174.7872
2123,26.1783,324715,8500486.6845
116,27.1629,4593426,124770771.0954
1159,18.1708,62177576,1129816297.9808
1270,263.009,2386912042,627779349254.378
2165,28.2044,1759620,49629026.328
1152,171.372,17919824,3070956078.5280004
792,79.0312,719382,56853622.7184
1979,51.6033,14846699,766138662.5066999
2185,56.1164,16161248,906911057.2672

weighted_avg,NA,NA,1042565281183.9199
weighted_%,NA,NA,1.0
weighted_total,1042565281183.9199
