Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2264,44.9546,4329266,194620421.3236
812,334.908,3890108,1302828290.0640001
1358,97.2156,5544676,539029004.1456
1778,40.8635,10686918,436704873.693
828,45.4532,9857309,448046237.43880004
2213,8.07837,4734973,38250863.83401
1726,65.5195,2988227,195787138.9265
2054,37.2896,2864831,106828402.0576
1903,16.1097,3134337,50493228.7689
509,133.977,9612110,1287801661.47
1751,10.0901,3666528,36995634.1728
62,40.4224,3917375,158349699.20000002
2151,40.7196,9272321,377565202.1916
239,98.774,2944958,290885281.492
1893,44.3029,3572906,158290097.2274
1305,111.513,6827735,761381213.0550001
1673,34.2884,3975029,136297384.36360002
492,45.4197,7233902,328561658.6694
2249,320.874,4544474,1458203550.276
264,17.7912,15949199,283755389.2488
2123,26.1783,10976293,287340691.0419
116,27.1629,6204627,168535662.7383
1159,18.1708,3878092,70468034.1136
1270,263.009,6181564,1625806966.076
2165,28.2044,3290131,92796170.7764
1152,171.372,3784525,648561618.3000001
792,79.0312,4192094,331306219.3328
1979,51.6033,4516507,233066665.6731
2185,56.1164,15924884,893647160.4976

weighted_avg,NA,NA,12942204420.168308
weighted_%,NA,NA,1.0
weighted_total,12942204420.168308
