Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
2264,44.9546,42,1888.0932,5369,241361.2474
812,334.908,21,7033.068,32508,10887189.264
1358,97.2156,65,6319.013999999999,27253,2649416.7468
1778,40.8635,0,0.0,33,1348.4955
828,45.4532,1,45.4532,581,26408.3092
2213,8.07837,0,0.0,7,56.54859
1726,65.5195,0,0.0,5,327.59749999999997
2054,37.2896,8,298.3168,371,13834.4416
1903,16.1097,0,0.0,48,773.2656
509,133.977,9,1205.7930000000001,3416,457665.43200000003
1751,10.0901,0,0.0,0,0.0
62,40.4224,1,40.4224,1285,51942.78400000001
2151,40.7196,0,0.0,375,15269.85
239,98.774,2,197.548,266,26273.884000000002
1893,44.3029,0,0.0,0,0.0
1305,111.513,92,10259.196,36786,4102117.2180000003
1673,34.2884,13,445.74920000000003,279,9566.463600000001
492,45.4197,19,862.9743,6690,303857.793
2249,320.874,180,57757.32000000001,51388,16489073.112000002
264,17.7912,5,88.956,3157,56166.8184
2123,26.1783,0,0.0,40,1047.132
116,27.1629,13,353.1177,128,3476.8512
1159,18.1708,1,18.1708,420,7631.736
1270,263.009,151,39714.359000000004,25042,6586271.3780000005
2165,28.2044,0,0.0,0,0.0
1152,171.372,3,514.116,420,71976.24
792,79.0312,0,0.0,924,73024.8288
1979,51.6033,4,206.4132,361,18628.7913
2185,56.1164,0,0.0,63,3535.3332

weighted_avg,NA,NA,127248.08080000003,NA,42098241.56169001
weighted_%,NA,NA,0.0030135371283404803,NA,0.9969864628716596
weighted_total,42225489.64249001
