Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
2264,44.9546,2399,107846.0854,1545,69454.857
812,334.908,7154,2395931.832,716,239794.128
1358,97.2156,11043,1073551.8708,3721,361739.2476
1778,40.8635,17,694.6795000000001,6,245.181
828,45.4532,272,12363.270400000001,300,13635.960000000001
2213,8.07837,10,80.7837,47,379.68339
1726,65.5195,32,2096.624,8,524.156
2054,37.2896,227,8464.7392,186,6935.8656
1903,16.1097,17,273.8649,14,225.5358
509,133.977,5498,736605.546,713,95525.60100000001
1751,10.0901,0,0.0,0,0.0
62,40.4224,440,17785.856,209,8448.2816
2151,40.7196,133,5415.7068,253,10302.0588
239,98.774,40,3950.96,20,1975.48
1893,44.3029,0,0.0,0,0.0
1305,111.513,14383,1603891.479,5478,610868.214
1673,34.2884,62,2125.8808000000004,23,788.6332000000001
492,45.4197,4667,211973.7399,1112,50506.706399999995
2249,320.874,17718,5685245.532000001,5552,1781492.448
264,17.7912,711,12649.5432,411,7312.1832
2123,26.1783,6,157.0698,1,26.1783
116,27.1629,31,842.0499,37,1005.0273
1159,18.1708,134,2434.8872,274,4978.7992
1270,263.009,10396,2734241.5640000002,8341,2193758.069
2165,28.2044,6,169.2264,2,56.4088
1152,171.372,409,70091.148,181,31018.332000000002
792,79.0312,128,10115.9936,8,632.2496
1979,51.6033,1056,54493.0848,256,13210.4448
2185,56.1164,6,336.6984,29,1627.3755999999998

weighted_avg,NA,NA,14753829.715700002,NA,5506467.1051900005
weighted_%,NA,NA,0.7282138976605522,NA,0.2717861023394479
weighted_total,20260296.820890002
