Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_SEEN_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NOT_SEEN_DURING_WARMUP_w_val
2264,44.9546,71,3191.7766,577,25938.8042
812,334.908,0,0.0,0,0.0
1358,97.2156,0,0.0,0,0.0
1778,40.8635,1,40.8635,0,0.0
828,45.4532,25,1136.3300000000002,66,2999.9112
2213,8.07837,4,32.31348,16,129.25392
1726,65.5195,0,0.0,0,0.0
2054,37.2896,37,1379.7152,85,3169.616
1903,16.1097,4,64.4388,0,0.0
509,133.977,16,2143.632,2,267.954
1751,10.0901,0,0.0,0,0.0
62,40.4224,17,687.1808000000001,76,3072.1024
2151,40.7196,6,244.3176,141,5741.4636
239,98.774,3,296.322,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,24,2676.312,0,0.0
1673,34.2884,1,34.2884,3,102.86520000000002
492,45.4197,3,136.2591,0,0.0
2249,320.874,96,30803.904000000002,94,30162.156000000003
264,17.7912,29,515.9448,131,2330.6472
2123,26.1783,0,0.0,0,0.0
116,27.1629,2,54.3258,11,298.7919
1159,18.1708,16,290.7328,54,981.2232
1270,263.009,454,119406.08600000001,1672,439751.048
2165,28.2044,1,28.2044,0,0.0
1152,171.372,4,685.488,0,0.0
792,79.0312,0,0.0,0,0.0
1979,51.6033,2,103.2066,0,0.0
2185,56.1164,0,0.0,6,336.6984

weighted_avg,NA,NA,163951.64188,NA,515282.53522
weighted_%,NA,NA,0.2413771971545865,NA,0.7586228028454136
weighted_total,679234.1771
