Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
2264,44.9546,10868,488566.5928,5304,238439.1984
812,334.908,83607,28000653.156,11464,3839385.3120000004
1358,97.2156,23796,2313342.4176,16294,1584030.9863999998
1778,40.8635,36,1471.086,2,81.727
828,45.4532,177,8045.2164,655,29771.846
2213,8.07837,12,96.94044,59,476.62383
1726,65.5195,546,35773.647,120,7862.339999999999
2054,37.2896,524,19539.7504,382,14244.6272
1903,16.1097,18,289.9746,24,386.6328
509,133.977,18138,2430074.826,1920,257235.84
1751,10.0901,0,0.0,0,0.0
62,40.4224,17078,690333.7472000001,2001,80885.22240000001
2151,40.7196,95,3868.362,341,13885.3836
239,98.774,612,60449.688,210,20742.54
1893,44.3029,46,2037.9334000000001,8,354.4232
1305,111.513,32438,3617258.694,22420,2500121.46
1673,34.2884,968,33191.171200000004,231,7920.620400000001
492,45.4197,13466,611621.6802,4128,187492.5216
2249,320.874,34536,11081704.464000002,25314,8122604.436000001
264,17.7912,7737,137650.5144,1879,33429.6648
2123,26.1783,18,471.2094,97,2539.2951
116,27.1629,402,10919.4858,212,5758.5348
1159,18.1708,137,2489.3996,375,6814.05
1270,263.009,14275,3754453.475,15379,4044815.4110000003
2165,28.2044,1220,34409.368,99,2792.2356
1152,171.372,973,166744.956,516,88427.952
792,79.0312,50633,4001586.7495999997,1043,82429.5416
1979,51.6033,2061,106354.4013,473,24408.3609
2185,56.1164,8,448.9312,13,729.5132

weighted_avg,NA,NA,57613847.83753999,NA,21198066.299829997
weighted_%,NA,NA,0.7310296732181693,NA,0.2689703267818308
weighted_total,78811914.13736999
