Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2264,44.9546,109626679,4928223503.7734
812,334.908,111568342,37365130282.536
1358,97.2156,157391669,15300925536.8364
1778,40.8635,345795181,14130401378.7935
828,45.4532,264832445,12037482089.074001
2213,8.07837,141643975,1144252438.32075
1726,65.5195,89642089,5873304850.235499
2054,37.2896,87483295,3262217077.232
1903,16.1097,100874163,1625052503.6811001
509,133.977,304405898,40783388996.346
1751,10.0901,113897911,1149241311.7811
62,40.4224,117524131,4750607432.934401
2151,40.7196,257098178,10468934968.8888
239,98.774,86211910,8515495198.34
1893,44.3029,116364001,5155262699.9029
1305,111.513,191699159,21376948317.567
1673,34.2884,121400445,4162627018.3380003
492,45.4197,222433979,10102884595.9863
2249,320.874,96683460,31023208544.04
264,17.7912,469980482,8361516751.3584
2123,26.1783,312862457,8190207258.0831
116,27.1629,172774562,4693058150.1498
1159,18.1708,104308097,1895361568.9675999
1270,263.009,139363397,36653827681.573006
2165,28.2044,103085028,2907451363.7232
1152,171.372,101919803,17466200479.716
792,79.0312,132524854,10473598241.4448
1979,51.6033,139212771,7183838385.7443
2185,56.1164,438187385,24589498571.614

weighted_avg,NA,NA,355570147196.98145
weighted_%,NA,NA,1.0
weighted_total,355570147196.98145
