Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
2264,44.9546,332194628,14933676623.8888
812,334.908,343864180,115162864795.44
1358,97.2156,643735111,62581095056.931595
1778,40.8635,499966924,20430398398.874
828,45.4532,1842163467,83732224498.2444
2213,8.07837,41532579,335515540.21623
1726,65.5195,42979391,2815988208.6245
2054,37.2896,371917110,13868640265.056
1903,16.1097,24475335,394290304.2495
509,133.977,836219158,112034134131.366
1751,10.0901,0,0.0
62,40.4224,252989491,10226442400.998402
2151,40.7196,1636301611,66629547079.2756
239,98.774,60802579,6005713938.146
1893,44.3029,6944180,307647312.122
1305,111.513,901316594,100508517346.722
1673,34.2884,262365850,8996105211.140001
492,45.4197,635263962,28853498574.8514
2249,320.874,585044357,187725523008.018
264,17.7912,569784157,10137143894.0184
2123,26.1783,139366182,3648369722.2506
116,27.1629,781365964,21224165543.5356
1159,18.1708,448720269,8153606263.9452
1270,263.009,916995834,241178157304.506
2165,28.2044,94932734,2677520802.8296
1152,171.372,273154362,46811009324.664
792,79.0312,202394248,15995460292.5376
1979,51.6033,289297090,14928684524.397
2185,56.1164,1648840577,92526997355.1628

weighted_avg,NA,NA,1292822937722.0115
weighted_%,NA,NA,1.0
weighted_total,1292822937722.0115
