Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
2264,44.9546,39433,1772694.7418,21688,974975.3648
812,334.908,367761,123166100.988,90339,30255253.812000003
1358,97.2156,96464,9377805.6384,69918,6797120.3208
1778,40.8635,60,2451.81,55,2247.4925000000003
828,45.4532,484,21999.3488,1081,49134.9092
2213,8.07837,10,80.7837,92,743.2100399999999
1726,65.5195,1607,105289.83649999999,133,8714.093499999999
2054,37.2896,1396,52056.2816,1233,45978.0768
1903,16.1097,53,853.8141,72,1159.8984
509,133.977,73701,9874238.877,10076,1349952.252
1751,10.0901,0,0.0,0,0.0
62,40.4224,82312,3327248.5888000005,18903,764104.6272000001
2151,40.7196,173,7044.4908,689,28055.8044
239,98.774,10362,1023496.188,1476,145790.424
1893,44.3029,178,7885.916200000001,92,4075.8668000000002
1305,111.513,124722,13908124.386,92799,10348294.887
1673,34.2884,5946,203878.82640000002,1161,39808.83240000001
492,45.4197,50921,2312816.5437,18180,825730.146
2249,320.874,143512,46049269.488000005,124572,39971915.928
264,17.7912,38554,685921.9248,9583,170493.0696
2123,26.1783,112,2931.9696,139,3638.7837
116,27.1629,1837,49898.2473,346,9398.3634
1159,18.1708,223,4052.0884,865,15717.742
1270,263.009,45478,11961123.302000001,55838,14685896.542000001
2165,28.2044,3407,96092.3908,420,11845.848
1152,171.372,2083,356967.87600000005,1561,267511.69200000004
792,79.0312,175016,13831724.4992,5592,441942.4704
1979,51.6033,4483,231337.59389999998,1283,66207.0339
2185,56.1164,6,336.6984,72,4040.3808

weighted_avg,NA,NA,238433723.13819999,NA,107289747.87164001
weighted_%,NA,NA,0.689665999365758,NA,0.31033400063424194
weighted_total,345723471.00984
