Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,48766,2192256.0236,60687,2728159.8102
812,334.908,394796,132220338.768,102665,34383329.82
1358,97.2156,118544,11524326.086399999,118501,11520145.8156
1778,40.8635,25,1021.5875000000001,94,3841.1690000000003
828,45.4532,538,24453.821600000003,2239,101769.7148
2213,8.07837,37,298.89968999999996,424,3425.2288799999997
1726,65.5195,1202,78754.439,508,33283.905999999995
2054,37.2896,1707,63653.3472,3279,122272.5984
1903,16.1097,71,1143.7887,159,2561.4423
509,133.977,68413,9165768.501,22169,2970136.113
1751,10.0901,0,0.0,0,0.0
62,40.4224,89666,3624514.9184000003,44852,1813025.4848000002
2151,40.7196,227,9243.3492,2308,93980.8368
239,98.774,10949,1081476.526,3179,314002.54600000003
1893,44.3029,156,6911.2524,532,23569.1428
1305,111.513,153351,17100630.063,150043,16731745.059
1673,34.2884,5446,186734.6264,1986,68096.7624
492,45.4197,53737,2440718.4189,37529,1704555.9213
2249,320.874,184874,59321259.876,160533,51510865.842
264,17.7912,41138,731894.3856,27648,491891.0976
2123,26.1783,161,4214.7063,281,7356.1023000000005
116,27.1629,1251,33980.7879,530,14396.337
1159,18.1708,385,6995.758,3576,64978.7808
1270,263.009,58946,15503328.514,141552,37229449.968
2165,28.2044,2944,83033.7536,1478,41686.1032
1152,171.372,2577,441625.64400000003,4956,849319.6320000001
792,79.0312,169973,13433170.1576,19904,1573037.0048
1979,51.6033,4040,208477.332,1623,83752.1559
2185,56.1164,22,1234.5608,331,18574.5284

weighted_avg,NA,NA,269491459.89279,NA,164503208.92327997
weighted_%,NA,NA,0.620955691985706,NA,0.37904430801429406
weighted_total,433994668.81606996
