Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,2791,125468.2886,1153,51832.6538
812,334.908,7678,2571423.6240000003,192,64302.336
1358,97.2156,12779,1242318.1524,1985,192972.966
1778,40.8635,18,735.543,5,204.3175
828,45.4532,353,16044.9796,219,9954.2508
2213,8.07837,20,161.5674,37,298.89968999999996
1726,65.5195,34,2227.6629999999996,6,393.11699999999996
2054,37.2896,262,9769.8752,151,5630.7296
1903,16.1097,20,322.194,11,177.2067
509,133.977,5756,771171.612,455,60959.535
1751,10.0901,0,0.0,0,0.0
62,40.4224,503,20332.467200000003,146,5901.670400000001
2151,40.7196,208,8469.6768,178,7248.0887999999995
239,98.774,43,4247.282,17,1679.158
1893,44.3029,0,0.0,0,0.0
1305,111.513,17135,1910775.2550000001,2726,303984.438
1673,34.2884,62,2125.8808000000004,23,788.6332000000001
492,45.4197,5138,233366.4186,641,29114.0277
2249,320.874,20082,6443791.6680000005,3188,1022946.312
264,17.7912,783,13930.5096,339,6031.2168
2123,26.1783,6,157.0698,1,26.1783
116,27.1629,36,977.8644,32,869.2128
1159,18.1708,187,3397.9396,221,4015.7468
1270,263.009,12939,3403073.4510000004,5798,1524926.182
2165,28.2044,6,169.2264,2,56.4088
1152,171.372,459,78659.748,131,22449.732000000004
792,79.0312,131,10353.0872,5,395.156
1979,51.6033,1163,60014.637899999994,149,7688.891699999999
2185,56.1164,7,392.8148,28,1571.2592

weighted_avg,NA,NA,16933878.496300004,NA,3326418.32459
weighted_%,NA,NA,0.8358159135575844,NA,0.16418408644241547
weighted_total,20260296.820890006
