Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
2264,44.9546,776503126,34907387428.0796
812,334.908,711438341,238266391907.62802
1358,97.2156,1130958851,109946843275.27559
1778,40.8635,2136748751,87315032586.48851
828,45.4532,1903262209,86509357838.1188
2213,8.07837,871439272,7039808871.746639
1726,65.5195,594594650,38957544170.674995
2054,37.2896,551005167,20546762275.3632
1903,16.1097,754806955,12159713602.963501
509,133.977,2105500987,282088705735.299
1751,10.0901,701005586,7073216463.2986
62,40.4224,787077058,31815543669.299202
2151,40.7196,1824142085,74278336044.366
239,98.774,524977219,51854099829.506
1893,44.3029,958017745,42442964354.9605
1305,111.513,1330559673,148374700815.249
1673,34.2884,882736358,30267617337.6472
492,45.4197,1600630461,72700155349.4817
2249,320.874,731621072,234758179856.928
264,17.7912,2800461311,49823567276.2632
2123,26.1783,1468686284,38447710148.4372
116,27.1629,1089344112,29589745179.8448
1159,18.1708,648270795,11779598961.786
1270,263.009,1110657588,292112941562.292
2165,28.2044,634563181,17897473782.1964
1152,171.372,724746815,124201311180.18001
792,79.0312,856842618,67717300311.681595
1979,51.6033,929750519,47978194957.11269
2185,56.1164,3011259081,168981019093.02838

weighted_avg,NA,NA,2459831223865.196
weighted_%,NA,NA,1.0
weighted_total,2459831223865.196
