Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2264,44.9546,2212,99439.57519999999,0,0.0
812,334.908,6769,2266992.2520000003,0,0.0
1358,97.2156,10056,977600.0736,0,0.0
1778,40.8635,17,694.6795000000001,0,0.0
828,45.4532,252,11454.206400000001,0,0.0
2213,8.07837,9,72.70533,0,0.0
1726,65.5195,31,2031.1045,0,0.0
2054,37.2896,208,7756.2368,0,0.0
1903,16.1097,15,241.6455,0,0.0
509,133.977,5442,729102.834,0,0.0
1751,10.0901,0,0.0,0,0.0
62,40.4224,406,16411.4944,0,0.0
2151,40.7196,116,4723.4736,0,0.0
239,98.774,37,3654.638,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,13153,1466730.489,0,0.0
1673,34.2884,59,2023.0156000000002,0,0.0
492,45.4197,4527,205614.98189999998,0,0.0
2249,320.874,16406,5264258.8440000005,0,0.0
264,17.7912,669,11902.3128,0,0.0
2123,26.1783,5,130.8915,0,0.0
116,27.1629,30,814.8870000000001,0,0.0
1159,18.1708,118,2144.1544,0,0.0
1270,263.009,9106,2394959.954,2,526.018
2165,28.2044,5,141.022,0,0.0
1152,171.372,397,68034.68400000001,0,0.0
792,79.0312,115,9088.588,0,0.0
1979,51.6033,1029,53099.795699999995,0,0.0
2185,56.1164,5,280.582,0,0.0

weighted_avg,NA,NA,13599399.12073,NA,526.018
weighted_%,NA,NA,0.9999613219929792,NA,3.867800702093579e-05
weighted_total,13599925.138729999
