Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
2264,44.9546,1646754,74029167.3684,4276,192225.8696
812,334.908,1636324,548017998.192,8258,2765670.264
1358,97.2156,1411039,137175003.0084,15649,1521326.9244
1778,40.8635,1418817,57977828.4795,23,939.8605
828,45.4532,2656281,120736471.54920001,591,26862.841200000003
2213,8.07837,1257278,10156756.87686,64,517.01568
1726,65.5195,1213987,79539821.24649999,41,2686.2994999999996
2054,37.2896,1418492,52894999.2832,473,17637.9808
1903,16.1097,835768,13463971.7496,34,547.7298
509,133.977,1357163,181828627.25100002,6285,842045.4450000001
1751,10.0901,1291257,13028912.2557,0,0.0
62,40.4224,1550521,62675780.07040001,685,27689.344
2151,40.7196,2244451,91393146.9396,457,18608.8572
239,98.774,1440436,142277625.464,60,5926.4400000000005
1893,44.3029,697828,30915804.1012,0,0.0
1305,111.513,1711667,190873122.171,21313,2376676.569
1673,34.2884,1528901,52423569.04840001,86,2948.8024
492,45.4197,1239583,56301487.9851,5861,266204.8617
2249,320.874,1928206,618711172.044,24921,7996500.954000001
264,17.7912,2874247,51136303.2264,1227,21829.8024
2123,26.1783,1364171,35711677.6893,7,183.2481
116,27.1629,1297507,35244052.8903,73,1982.8917000000001
1159,18.1708,1561643,28376302.6244,429,7795.2732
1270,263.009,2152518,566131606.6620001,24472,6436356.248000001
2165,28.2044,1061177,29929860.5788,13,366.6572
1152,171.372,1542811,264394606.69200003,613,105051.03600000001
792,79.0312,1208967,95546112.7704,139,10985.3368
1979,51.6033,1187495,61278660.7335,1350,69664.455
2185,56.1164,2644055,148374848.002,35,1964.074

weighted_avg,NA,NA,3850545296.9531603,NA,22721195.081180003
weighted_%,NA,NA,0.994133841519062,NA,0.005866158480937943
weighted_total,3873266492.0343404
