Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
517,810.151,345313,279755672.263,115761,93783889.911
5297,898.498,343811,308913495.878,119330,107217766.34
5168,967.77,345682,334540669.14,115850,112116154.5
2807,979.819,345641,338665618.979,115936,113596295.58399999
2215,509.983,345417,176156797.911,116728,59529295.624
1490,862.35,344888,297414166.8,118624,102295406.4
3954,490.914,345341,169532731.674,116228,57057952.392
2031,399.553,345190,137921700.07,116768,46655004.703999996

weighted_avg,NA,NA,2042900852.715,NA,692251765.4549999
weighted_%,NA,NA,0.7469056165801223,NA,0.25309438341987756
weighted_total,2735152618.17
