Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,14467,11720454.516999999,0,0.0
5297,898.498,15218,13673342.564000001,0,0.0
5168,967.77,14602,14131377.54,0,0.0
2807,979.819,14633,14337691.427,0,0.0
2215,509.983,14724,7508989.692,0,0.0
1490,862.35,14978,12916278.3,0,0.0
3954,490.914,14683,7208090.262,0,0.0
2031,399.553,14834,5926969.202,0,0.0

weighted_avg,NA,NA,87423193.50400001,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,87423193.50400001
