Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
517,810.151,47716,38657165.116,1512,1224948.312
5297,898.498,49285,44282473.93,1674,1504085.652
5168,967.77,48125,46573931.25,1569,1518431.13
2807,979.819,48266,47291943.853999995,1526,1495203.794
2215,509.983,48634,24802513.222,1571,801183.2930000001
1490,862.35,49784,42931232.4,1576,1359063.6
3954,490.914,48222,23672854.908,1539,755516.646
2031,399.553,48509,19381916.476999998,1522,608119.666

weighted_avg,NA,NA,287594031.157,NA,9266552.092999998
weighted_%,NA,NA,0.9687848349836455,NA,0.031215165016354518
weighted_total,296860583.25
