Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
517,810.151,5612,4546567.412,43616,35335546.015999995
5297,898.498,5593,5025299.314,45366,40761260.268
5168,967.77,5608,5427254.16,44086,42665108.22
2807,979.819,5607,5493845.132999999,44185,43293302.515
2215,509.983,5580,2845705.14,44625,22757991.375
1490,862.35,5566,4799840.100000001,45794,39490455.9
3954,490.914,5596,2747154.744,44165,21681216.81
2031,399.553,5572,2226309.316,44459,17763726.827

weighted_avg,NA,NA,33111975.319000002,NA,263748607.931
weighted_%,NA,NA,0.11154049135285461,NA,0.8884595086471454
weighted_total,296860583.25
