Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,169217,137091321.767,0,0.0
5297,898.498,179389,161180657.722,0,0.0
5168,967.77,174536,168910704.72,0,0.0
2807,979.819,175244,171707400.836,0,0.0
2215,509.983,175796,89652971.468,0,0.0
1490,862.35,179202,154534844.70000002,0,0.0
3954,490.914,175836,86320354.104,0,0.0
2031,399.553,177965,71106449.645,0,0.0

weighted_avg,NA,NA,1040504704.962,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,1040504704.962
