Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,325057,263345253.607,71714,58099168.813999996
5297,898.498,322827,290059413.846,73482,66023430.036000006
5168,967.77,325298,314813645.46,71319,69020388.63
2807,979.819,325222,318658694.81799996,71312,69872852.528
2215,509.983,324939,165713366.037,71602,36515802.766
1490,862.35,324176,279553173.6,72363,62402233.050000004
3954,490.914,324901,159498449.514,71595,35146987.83
2031,399.553,324611,129699298.883,71857,28710679.921

weighted_avg,NA,NA,1921341295.7649999,NA,425791543.575
weighted_%,NA,NA,0.8185907774633114,NA,0.1814092225366887
weighted_total,2347132839.3399997
