Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,15117,12247052.667,37,29975.587
5297,898.498,15872,14260960.256000001,43,38635.414000000004
5168,967.77,15247,14755589.19,34,32904.18
2807,979.819,15278,14969674.682,46,45071.674
2215,509.983,15363,7834868.829,20,10199.66
1490,862.35,15628,13476805.8,37,31906.95
3954,490.914,15323,7522275.222,23,11291.021999999999
2031,399.553,15476,6183482.228,12,4794.636

weighted_avg,NA,NA,91250708.874,NA,204779.12300000002
weighted_%,NA,NA,0.9977608875368232,NA,0.002239112463176812
weighted_total,91455487.997
