Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,15114,12244622.214,40,32406.039999999997
5297,898.498,15858,14248381.284,57,51214.386000000006
5168,967.77,15242,14750750.34,39,37743.03
2807,979.819,15269,14960856.310999999,55,53890.045
2215,509.983,15362,7834358.846,21,10709.643
1490,862.35,15616,13466457.6,49,42255.15
3954,490.914,15321,7521293.393999999,25,12272.85
2031,399.553,15473,6182283.569,15,5993.295

weighted_avg,NA,NA,91209003.558,NA,246484.439
weighted_%,NA,NA,0.9973048698946522,NA,0.00269513010534792
weighted_total,91455487.997
