Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
517,810.151,667865568,541071957780.76794
5297,898.498,669816371,601828669710.758
5168,967.77,670307823,648703801864.71
2807,979.819,669058964,655556685047.516
2215,509.983,666919157,340117432444.331
1490,862.35,670084250,577847152987.5
3954,490.914,670259023,329039538017.022
2031,399.553,670061995,267725280288.235

weighted_avg,NA,NA,3961890518140.84
weighted_%,NA,NA,1.0
weighted_total,3961890518140.84
