Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
517,810.151,1463720,1185834221.72,518842,420340365.14199996
5297,898.498,1463943,1315349857.614,543248,488107241.504
5168,967.77,1463556,1416385590.12,524189,507294388.53
2807,979.819,1463329,1433797557.451,518736,508267388.784
2215,509.983,1464454,746846644.2820001,521372,265890856.676
1490,862.35,1465163,1263483313.05,533148,459760177.8
3954,490.914,1463955,718676004.87,522367,256437273.438
2031,399.553,1464988,585340350.364,521965,208552681.645

weighted_avg,NA,NA,8665713539.471,NA,3114650373.519
weighted_%,NA,NA,0.7356066080365709,NA,0.26439339196342904
weighted_total,11780363912.990002
