cf_type,addr,target,bpu_hit_uc_hit,bpu_hit_uc_miss,mispred_uc_hit,mispred_uc_miss,misfetch_uc_hit,misfetch_uc_miss,btb_miss_uc_hit,btb_miss_uc_miss,other_recovery_uc_hit,other_recovery_uc_miss,recover_redirect_extra_fetch_latency
1,7f74c6cdfc82,7f74c6cdfc30,0,1584,0,0,0,0,0,1,0,0,2
2,7f74c54df480,0,0,321,0,0,0,0,0,0,0,0,0
2,7f74c57d70c3,7f74c57d70ca,0,321,0,0,0,0,0,44,0,0,88
2,7f74c54df48d,0,0,321,0,0,0,0,0,1,0,0,2
1,7f74c54dfc8e,7f74c54dfad8,0,321,0,0,0,0,0,1,0,0,2
3,7f74c54dfc89,7f74c5815170,0,321,0,0,0,0,0,1,0,0,2
1,7f74c6cff489,7f74c6cff3cb,0,2570,0,0,0,0,0,1,0,0,2
2,7f74c54dfcd3,0,0,321,0,0,0,0,0,0,0,0,0
3,7f74c54dfcdf,7f74c6476680,0,321,0,0,0,0,0,1,0,0,2
2,7f74c54df49f,7f74c54df4aa,0,321,0,0,0,0,0,1,0,0,2
2,7f74c55570de,0,0,322,0,0,0,0,0,0,0,0,0
2,7f74c54df4d8,0,0,321,0,0,0,0,0,0,0,0,0
2,7f74c54dfce6,7f74c54dfdb0,0,321,0,0,0,0,0,1,0,0,2
2,7f74c6cdf8e5,0,0,24,0,0,0,0,0,0,0,0,0
2,7f74c55570b4,0,0,322,0,0,0,0,0,0,0,0,0
3,7f74c54dfcf4,7f74c59cb5d0,0,321,0,0,0,0,0,1,0,0,2
2,7f74c6cdf8f7,0,0,24,0,0,0,0,0,0,0,0,0
7,7f74c54d6cb0,7f74c54eb501,0,322,0,0,0,0,0,0,0,0,0
3,7f74c557f8fe,7f74c54ef370,0,322,0,0,0,0,0,1,0,0,2
2,7f74c557f0f9,7f74c557f704,0,322,0,0,0,0,0,1,0,0,2
2,7f74c54df4b9,0,0,321,0,0,0,0,0,321,0,0,642
2,7f74c6cff44a,7f74c6cff440,0,857,0,5,0,0,0,1,0,0,12
2,7f74c557f048,0,0,322,0,0,0,0,0,0,0,0,0
2,7f74c54df44b,0,0,321,0,0,0,0,0,0,0,0,0
2,7f74c57d7054,0,0,321,0,0,0,0,0,1,0,0,2
2,7f74c57d7017,7f74c57d6f7f,0,321,0,0,0,0,0,1,0,0,2
2,7f74c6cff414,7f74c6cff468,0,3321,0,7,0,0,0,1,0,0,16
2,7f74c557f053,7f74c557f867,0,322,0,0,0,0,0,1,0,0,2
1,7f74c57d7061,7f74c57d6f71,0,321,0,0,0,0,0,1,0,0,2
2,7f74c557f022,0,0,322,0,0,0,0,0,0,0,0,0
3,7f74c6cdfc61,7f74c6cdf9d0,0,1584,0,0,0,0,0,1,0,0,2
2,7f74c54df42f,0,0,321,0,0,0,0,0,0,0,0,0
3,7f74c6cff46d,7f74c6b2cf90,0,5,0,0,0,0,0,1,0,0,2
2,7f74c6cdfc68,7f74c6cdfc78,0,1584,0,2,0,0,0,1,0,0,6
2,7f74c6cff436,7f74c6cff481,0,3321,0,2,0,0,0,1,0,0,6
2,7f74c6cff475,0,0,5,0,0,0,0,0,0,0,0,0
2,7f74c54df471,0,0,321,0,0,0,0,0,0,0,0,0
3,7f74c54df431,7f74c6e1c1e0,0,321,0,0,0,0,0,1,0,0,2
2,7f74c557f870,0,0,322,0,0,0,0,0,1,0,0,2
1,7f74c557f87d,7f74c557f059,0,322,0,0,0,0,0,1,0,0,2
1,7f74c6cff47f,7f74c6cff416,0,5,0,0,0,0,0,1,0,0,2
3,7f74c54df439,0,0,321,0,0,0,0,0,321,0,0,642
2,7f74c557f07b,7f74c557f0ee,0,322,0,0,0,0,0,1,0,0,2
3,7f74c54df984,7f74c5349440,0,321,0,0,0,0,0,4,0,0,8
2,7f74c54df9c4,0,0,321,0,0,0,0,0,321,0,0,642
2,7f74c54df184,0,0,25,0,0,0,0,0,0,0,0,0
2,7f74c54d79c6,0,0,322,0,0,0,0,0,0,0,0,0
1,7f74c557f9c6,7f74c557f98a,0,322,0,0,0,0,0,4,0,0,8
3,7f74c557f9c1,7f74c580a210,0,322,0,0,0,0,0,1,0,0,2
2,7f74c557f1c3,0,0,322,0,0,0,0,0,0,0,0,0
1,7f74c54dfdc2,7f74c54dfcec,0,321,0,0,0,0,0,1,0,0,2
2,7f74c54d79cf,7f74c54d7a39,0,322,0,0,0,0,0,1,0,0,2
2,7f74c54df18e,0,0,322,0,0,0,0,0,0,0,0,0
2,7f74c54df9c9,0,0,321,0,0,0,0,0,0,0,0,0
3,7f74c54df9cb,7f74c5809d90,0,321,0,0,0,0,0,1,0,0,2
3,7f74c54df9d6,7f74c54df2e0,0,321,0,0,0,0,0,1,0,0,2
2,7f74c54df193,0,0,322,0,0,0,0,0,0,0,0,0
2,7f74c557f1d2,0,0,322,0,0,0,0,0,0,0,0,0
3,7f74c54df99d,7f74c6e1c1e0,0,321,0,0,0,0,0,1,0,0,2
2,7f74c557f998,7f74c557fa74,0,322,0,0,0,0,0,1,0,0,2
2,7f74c555719b,0,0,322,0,0,0,0,0,0,0,0,0
2,7f74c54d799b,0,0,322,0,0,0,0,0,1,0,0,2
2,7f74c54df99b,0,0,321,0,0,0,0,0,0,0,0,0
2,7f74c557f1e5,0,0,322,0,0,0,0,0,322,0,0,644
3,7f74c54df9a5,0,0,321,0,0,0,0,0,321,0,0,642
1,7f74c6cdfde4,7f74c6cdfc50,0,3,0,0,0,0,0,1,0,0,2
5,7f74c55761a6,7f74c5562540,0,322,0,0,0,0,0,1,0,0,2
5,7f74c557e9a1,7f74c5a19440,0,322,0,0,0,0,0,1,0,0,2
3,7f74c54df1a0,7f74c5348bd0,0,322,0,0,0,0,0,1,0,0,2
7,7f74c557e9ee,7f74c55e6751,0,321,0,0,0,0,0,0,0,0,0
2,7f74c54df9e8,0,0,321,0,0,0,0,0,0,0,0,0
2,7f74c54df1ab,0,0,322,0,0,0,0,0,0,0,0,0
3,7f74c54d79b5,7f74c54d5c20,0,322,0,0,0,0,0,1,0,0,2
3,7f74c54dfdbd,7f74c6476680,0,321,0,0,0,0,0,1,0,0,2
2,7f74c557f9bf,0,0,322,0,0,0,0,0,0,0,0,0
2,7f74c54df9b9,0,0,321,0,0,0,0,0,0,0,0,0
7,7f74c555e9b8,7f74c55ed9ec,0,321,0,0,0,0,0,0,0,0,0
7,7f74c57dedba,7f74c57d3bea,0,322,0,0,0,0,0,0,0,0,0
2,7f74c6cdf904,7f74c6cdf94f,0,24,0,1,0,0,0,3,0,0,8
3,7f74c557f906,7f74c557d0a0,0,322,0,0,0,0,0,1,0,0,2
2,7f74c557f90d,0,0,322,0,0,0,0,0,0,0,0,0
2,7f74c57d710d,7f74c57d7170,0,321,0,0,0,0,0,1,0,0,2
2,7f74c557f949,0,0,322,0,0,0,0,0,0,0,0,0
3,7f74c557f155,7f74c557ab00,0,322,0,0,0,0,0,1,0,0,2
2,7f74c54dfd17,0,0,321,0,0,0,0,0,0,0,0,0
2,7f74c54df51d,7f74c54df41d,0,321,0,0,0,0,0,1,0,0,2
2,7f74c557f15c,0,0,322,0,0,0,0,0,0,0,0,0
2,7f74c557f91c,0,0,322,0,0,0,0,0,0,0,0,0
2,7f74c54df158,7f74c54df186,0,322,0,26,0,0,0,1,0,0,54
2,7f74c557f95b,0,0,322,0,0,0,0,0,0,0,0,0
3,7f74c54dfd26,7f74c54df920,0,321,0,0,0,0,0,1,0,0,2
2,7f74c54df166,0,0,25,0,0,0,0,0,0,0,0,0
2,7f74c557f12d,0,0,322,0,0,0,0,0,1,0,0,2
2,7f74c557f16d,0,0,322,0,0,0,0,0,0,0,0,0
2,7f74c5557128,0,0,322,0,0,0,0,0,0,0,0,0
2,7f74c557f935,0,0,322,0,0,0,0,0,1,0,0,2
7,7f74c54d6137,7f74c54ea7ac,0,322,0,0,0,0,0,0,0,0,0
2,7f74c54df976,0,0,321,0,0,0,0,0,0,0,0,0
2,7f74c54dfd31,0,0,321,0,0,0,0,0,0,0,0,0
3,7f74c5557133,7f74c56a0010,0,322,0,0,0,0,0,1,0,0,2
2,7f74c557f972,0,0,322,0,0,0,0,0,0,0,0,0
1,7f74c57d717d,7f74c57d712c,0,321,0,0,0,0,0,1,0,0,2
2,7f74c57d713d,0,0,321,0,0,0,0,0,0,0,0,0
2,7f74c54df17c,0,0,25,0,0,0,0,0,0,0,0,0
2,7f74c555713f,0,0,322,0,0,0,0,0,1,0,0,2
2,7f74c54df13f,0,0,322,0,0,0,0,0,0,0,0,0
1,7f74c557f97f,7f74c557f99e,0,322,0,0,0,0,0,1,0,0,2
