Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2766,217.447,228142058,49608806085.926
2298,16.1495,175539665,2834877819.9175
2235,73.9095,770495752,56946955782.44399
562,151.883,171689710,26076748223.93
2322,74.3347,246065533,18291207575.8951
533,77.6496,488978394,37968976702.7424
655,136.191,260886856,35530441805.496
414,208.958,215987883,45132396055.914
253,149.505,270677347,40467616763.235
853,129.616,747624848,96904142298.36801
907,262.418,191252932,50188211909.576004
1114,12.9007,456715987,5891955933.4909
939,1055.11,174963677,184605925239.46997
2606,11.2554,3128310537,35210386418.1498
2837,150.956,232080566,35033953921.096
1793,150.359,1102515711,165773159790.24902
1046,85.9267,239888121,20612794606.730698
554,46.3771,184318835,8548173042.6785
1970,47.9169,4968331871,238067061429.5199

weighted_avg,NA,NA,1153693791404.8286
weighted_%,NA,NA,1.0
weighted_total,1153693791404.8286
