Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
2766,217.447,33899,7371235.853,4118,895446.746
2298,16.1495,0,0.0,0,0.0
2235,73.9095,27,1995.5565,106,7834.406999999999
562,151.883,4024,611177.192,2799,425120.51700000005
2322,74.3347,20,1486.694,19,1412.3593
533,77.6496,846,65691.5616,4377,339872.2992
655,136.191,110,14981.01,410,55838.31
414,208.958,20248,4230981.584,30875,6451578.25
253,149.505,31407,4695503.535,4975,743787.375
853,129.616,61,7906.576000000001,245,31755.920000000002
907,262.418,4939,1296082.502,2373,622717.914
1114,12.9007,83,1070.7581,0,0.0
939,1055.11,40337,42559972.06999999,43424,45817096.63999999
2606,11.2554,45,506.493,227,2554.9758
2837,150.956,32203,4861236.068,8359,1261841.204
1793,150.359,24,3608.616,391,58790.369000000006
1046,85.9267,26168,2248529.8855999997,3510,301602.717
554,46.3771,903,41878.5213,873,40487.2083
1970,47.9169,8511,407820.73589999997,1564,74942.0316

weighted_avg,NA,NA,68421665.212,NA,57132679.243200004
weighted_%,NA,NA,0.5449565724618478,NA,0.4550434275381522
weighted_total,125554344.4552
