Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_val,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_w_val
2766,217.447,0,0.0,0,0.0,0,0.0,515,111985.205,144340,31386299.98
2298,16.1495,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2235,73.9095,0,0.0,0,0.0,0,0.0,2685,198447.00749999998,28000,2069465.9999999998
562,151.883,0,0.0,0,0.0,0,0.0,2650,402489.95,159775,24267106.325000003
2322,74.3347,0,0.0,0,0.0,0,0.0,0,0.0,12285,913201.7895
533,77.6496,0,0.0,0,0.0,0,0.0,23915,1856990.1840000001,500375,38853918.6
655,136.191,0,0.0,0,0.0,0,0.0,1445,196795.995,86485,11778478.635
414,208.958,16690,3487509.02,0,0.0,0,0.0,29245,6110976.71,1892660,395486448.28
253,149.505,325,48589.125,0,0.0,0,0.0,6805,1017381.525,318265,47582208.824999996
853,129.616,0,0.0,0,0.0,0,0.0,2055,266360.88,45560,5905304.960000001
907,262.418,0,0.0,0,0.0,0,0.0,3655,959137.79,98805,25928210.490000002
1114,12.9007,0,0.0,0,0.0,0,0.0,0,0.0,5265,67922.1855
939,1055.11,6235,6578610.85,0,0.0,0,0.0,34150,36032006.5,2289350,2415516078.5
2606,11.2554,0,0.0,0,0.0,0,0.0,140,1575.756,47700,536882.58
2837,150.956,0,0.0,0,0.0,0,0.0,7205,1087637.98,250195,37768436.419999994
1793,150.359,2370,356350.83,0,0.0,0,0.0,125,18794.875,53745,8081044.455
1046,85.9267,0,0.0,0,0.0,0,0.0,3650,313632.455,263950,22680352.465
554,46.3771,0,0.0,0,0.0,0,0.0,2305,106899.21549999999,49250,2284072.175
1970,47.9169,16210,776732.949,0,0.0,0,0.0,27265,1306454.2785,1493625,71569879.7625

weighted_avg,NA,NA,11247792.774,NA,0.0,NA,0.0,NA,49987566.30649999,NA,3142675312.4275002
weighted_%,NA,NA,0.003510644935898274,NA,0.0,NA,0.0,NA,0.015602047445028203,NA,0.9808873076190735
weighted_total,3203910671.5080004
