Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2766,217.447,101104,21984761.488,31296,6805221.312
2298,16.1495,0,0.0,0,0.0
2235,73.9095,75,5543.2125,1066,78787.52699999999
562,151.883,15969,2425419.6270000003,14526,2206252.458
2322,74.3347,17,1263.6898999999999,27,2007.0369
533,77.6496,2383,185038.99680000002,13282,1031341.9872000001
655,136.191,127,17296.257,1748,238061.86800000002
414,208.958,75913,15862628.654,140174,29290478.691999998
253,149.505,117464,17561455.32,40320,6028041.6
853,129.616,124,16072.384000000002,1151,149188.016
907,262.418,11470,3009934.46,15298,4014470.5640000002
1114,12.9007,824,10630.176800000001,312,4025.0184
939,1055.11,171798,181265787.77999997,223329,235636661.18999997
2606,11.2554,67,754.1118,611,6877.0494
2837,150.956,138372,20888083.632,65221,9845501.275999999
1793,150.359,79,11878.361,1323,198924.95700000002
1046,85.9267,95411,8198352.373699999,24453,2101165.5951
554,46.3771,2065,95768.71149999999,3641,168859.02109999998
1970,47.9169,4075,195261.3675,2655,127219.3695

weighted_avg,NA,NA,271735930.60349995,NA,297933084.5375999
weighted_%,NA,NA,0.4770066887632889,NA,0.522993311236711
weighted_total,569669015.1410999
