Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2766,217.447,9155,1990727.285
2298,16.1495,0,0.0
2235,73.9095,273,20177.2935
562,151.883,3971,603127.393
2322,74.3347,107,7953.8129
533,77.6496,4118,319761.0528
655,136.191,705,96014.655
414,208.958,54008,11285403.664
253,149.505,13064,1953133.3199999998
853,129.616,306,39662.49600000001
907,262.418,2178,571546.404
1114,12.9007,8,103.2056
939,1055.11,86268,91022229.47999999
2606,11.2554,334,3759.3035999999997
2837,150.956,10683,1612662.9479999999
1793,150.359,299,44957.341
1046,85.9267,8719,749194.8973
554,46.3771,446,20684.1866
1970,47.9169,162,7762.5378

weighted_avg,NA,NA,110348861.2761
weighted_%,NA,NA,1.0
weighted_total,110348861.2761
