Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
2766,217.447,1558699,338934421.453,497318,108140307.146
2298,16.1495,1276663,20617469.118499998,44109,712338.2955
2235,73.9095,1555895,114995421.5025,438930,32441096.834999997
562,151.883,1179769,179186855.027,1213666,184335233.078
2322,74.3347,1462497,108714275.74589999,369734,27484065.9698
533,77.6496,1549955,120353385.768,2165332,168137163.66720003
655,136.191,1191858,162320332.878,226386,30831735.726
414,208.958,1448279,302629483.282,1360469,284280881.302
253,149.505,1153494,172453120.47,787750,117772563.75
853,129.616,1842968,238878140.28800002,1656468,214704756.28800002
907,262.418,1411692,370453391.256,2286812,600100631.416
1114,12.9007,412494,5321461.3458,219945,2837444.4615
939,1055.11,1273940,1344146833.3999999,2221623,2344056643.5299997
2606,11.2554,1581909,17805018.5586,242126,2725224.9804
2837,150.956,1263519,190735774.16399997,954874,144143959.544
1793,150.359,1485528,223362504.55200002,1458709,219330026.53100002
1046,85.9267,1109218,95311442.3206,382387,32857253.032899998
554,46.3771,1366873,63391605.808299996,1038735,48173516.968499996
1970,47.9169,1327503,63609828.5007,44819,2147587.5411

weighted_avg,NA,NA,4133220765.4389005,NA,4565212430.0629
weighted_%,NA,NA,0.4751684208572531,NA,0.5248315791427468
weighted_total,8698433195.5018
