Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
2766,217.447,120206149,26138466481.603
2298,16.1495,0,0.0
2235,73.9095,2908067831,214933839355.2945
562,151.883,451602107,68590682817.481
2322,74.3347,430340214,31989210705.625797
533,77.6496,805848756,62573833563.897606
655,136.191,1601313581,218084497909.971
414,208.958,849975724,177609227335.592
253,149.505,135927616,20321858230.079998
853,129.616,2164970320,280614792997.12006
907,262.418,144704780,37973138958.04
1114,12.9007,42353218,546386159.4526
939,1055.11,648625058,684370784946.3799
2606,11.2554,4194442352,47210126448.7008
2837,150.956,110693003,16709772960.867998
1793,150.359,3855478782,579705934182.738
1046,85.9267,106308001,9134695709.5267
554,46.3771,385592958,17882683172.4618
1970,47.9169,643041716,30812565601.4004

weighted_avg,NA,NA,2525202497536.233
weighted_%,NA,NA,1.0
weighted_total,2525202497536.233
