Simpoints,Weight,ICACHE_MISS_NOT_PREFETCHED_val,ICACHE_MISS_NOT_PREFETCHED_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_w_val
2766,217.447,0,0.0,0,0.0,0,0.0,297,64581.759,2970,645817.59
2298,16.1495,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2235,73.9095,0,0.0,0,0.0,0,0.0,43,3178.1085,42,3104.1989999999996
562,151.883,0,0.0,0,0.0,0,0.0,538,81713.054,1471,223419.893
2322,74.3347,0,0.0,0,0.0,0,0.0,17,1263.6898999999999,33,2453.0451
533,77.6496,0,0.0,0,0.0,0,0.0,848,65846.86080000001,890,69108.144
655,136.191,0,0.0,0,0.0,0,0.0,124,16887.684,105,14300.055
414,208.958,41,8567.278,0,0.0,0,0.0,3926,820369.108,7878,1646171.124
253,149.505,2,299.01,0,0.0,0,0.0,429,64137.645,3329,497702.14499999996
853,129.616,0,0.0,0,0.0,0,0.0,78,10110.048,73,9461.968
907,262.418,0,0.0,0,0.0,0,0.0,475,124648.55,1512,396776.016
1114,12.9007,0,0.0,0,0.0,0,0.0,2,25.8014,17,219.3119
939,1055.11,236,249005.95999999996,0,0.0,0,0.0,4970,5243896.699999999,15948,16826894.279999997
2606,11.2554,0,0.0,0,0.0,0,0.0,68,765.3672,50,562.77
2837,150.956,0,0.0,0,0.0,0,0.0,783,118198.548,4748,716739.088
1793,150.359,50,7517.950000000001,0,0.0,0,0.0,102,15336.618,47,7066.8730000000005
1046,85.9267,0,0.0,0,0.0,0,0.0,348,29902.491599999998,2170,186460.93899999998
554,46.3771,0,0.0,0,0.0,0,0.0,117,5426.1206999999995,309,14330.5239
1970,47.9169,54,2587.5126,0,0.0,0,0.0,357,17106.3333,3082,147679.8858

weighted_avg,NA,NA,267977.7106,NA,0.0,NA,0.0,NA,6683394.4874,NA,21408267.850699995
weighted_%,NA,NA,0.009449263465256291,NA,0.0,NA,0.0,NA,0.23566570224174502,NA,0.7548850342929987
weighted_total,28359640.048699994
