Simpoints,Weight,ST_OP_CF_val,ST_OP_CF_w_val
2766,217.447,19.248,4185.419856
2298,16.1495,15.444,249.412878
2235,73.9095,16.232,1199.6990039999998
562,151.883,18.385,2792.3689550000004
2322,74.3347,20.594,1530.8488118
533,77.6496,18.467,1433.9551632
655,136.191,15.176,2066.834616
414,208.958,16.546,3457.4190679999997
253,149.505,18.177,2717.552385
853,129.616,19.137,2480.461392
907,262.418,17.025,4467.66645
1114,12.9007,20.031,258.4139217
939,1055.11,16.506,17415.64566
2606,11.2554,21.873,246.1893642
2837,150.956,15.917,2402.766652
1793,150.359,19.447,2924.031473
1046,85.9267,17.565,1509.3024855
554,46.3771,17.688,820.3181447999999
1970,47.9169,24.87,1191.693303

weighted_avg,NA,NA,53349.999583200006
weighted_%,NA,NA,1.0
weighted_total,53349.999583200006
