Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
4118,2431.67,1413851315,3438019827146.0503
1010,22.174,1503104762,33329844992.587997
1362,2347.06,1414552980,3320040717238.8
5198,1186.62,1421459357,1686732102203.3398

weighted_avg,NA,NA,8478122491580.777
weighted_%,NA,NA,1.0
weighted_total,8478122491580.777
