Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
4118,2431.67,56953,138490901.51,0,0.0
1010,22.174,56310,1248617.94,0,0.0
1362,2347.06,56786,133280149.16,0,0.0
5198,1186.62,56482,67022670.839999996,0,0.0

weighted_avg,NA,NA,340042339.45,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,340042339.45
